total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org
15.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,155.0,515.0,2.0,M,N
5.0,93.0,15.0,0.0,0.0,8.0,0.0,0.0,18.0,3.0,0.0,1.0,308.0,418.0,2.0,M,N
18.0,56.0,16.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,3.0,941.0,4013.0,1.0,F,N
10.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,1888.0,1073.0,0.0,F,N
22.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,105.0,359.0,1.0,M,N
7.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,265.0,294.0,1.0,M,N
7.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,4022.0,3644.0,0.0,F,N
27.0,41.0,7.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,17.0,95.0,0.0,F,N
28.0,93.0,13.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,1.0,5.0,794.0,791.0,0.0,M,N
26.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,3.0,602.0,1621.0,1.0,M,N
5.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,8183.0,4356.0,2.0,M,N
11.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,121.0,3.0,M,N
20.0,79.0,15.0,0.0,0.0,8.0,1.0,0.0,4.0,1.0,4.0,1.0,181.0,333.0,3.0,F,N
28.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,719.0,1401.0,1.0,M,N
15.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,83.0,472.0,1.0,M,N
6.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,104.0,1.0,M,N
33.0,7.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,103.0,54.0,0.0,M,N
18.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,8.0,0.0,F,N
14.0,97.0,15.0,0.0,0.0,0.0,1.0,0.0,16.0,4.0,0.0,2.0,267.0,861.0,2.0,M,N
6.0,19.0,10.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,665.0,767.0,2.0,M,N
15.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,331.0,364.0,1.0,F,N
0.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,111.0,808.0,1.0,M,N
16.0,106.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,107.0,448.0,1.0,M,N
7.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,182.0,75.0,0.0,M,N
4.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,43.0,46.0,0.0,M,N
7.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,1.0,F,N
7.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,441.0,1.0,F,N
9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,32.0,3.0,M,N
26.0,131.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0,3.0,101.0,51.0,3.0,U,Y
5.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,M,N
35.0,149.0,14.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,4.0,920.0,859.0,1.0,M,N
9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,105.0,205.0,1.0,M,N
