total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org,bot_score
16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,164.0,3.0,M,N,3.3218151931755644
4.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,133.0,561.0,0.0,M,N,1.3978420215257348
15.0,42.0,15.0,1.0,2.0,2.0,0.0,0.0,9.0,1.0,1.0,1.0,45.0,286.0,0.0,M,N,2.0726084684329416
7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,141.0,0.0,F,N,3.677254824716698
10.0,82.0,8.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,3.0,229.0,120.0,2.0,F,N,1.632849175779179
12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,21.0,0.0,M,N,4.957423263196959
11.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,0.0,U,Y,4.788333333333333
16.0,95.0,11.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,2.0,1.0,154.0,3493.0,1.0,M,N,1.2565906866849683
8.0,17.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,137.0,2546.0,1.0,F,N,1.9563065258200665
5.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,272.0,1124.0,0.0,M,N,1.3646794933082709
15.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,522.0,1657.0,1.0,F,N,0.2436940411610944
12.0,157.0,12.0,1.0,0.0,0.0,0.0,0.0,18.0,3.0,4.0,1.0,92495.0,1606.0,3.0,U,Y,0.5106819605408491
3.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,13.0,0.0,M,N,4.719388906112875
6.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,24.0,87.0,1.0,F,N,3.1443986576336505
5.0,26.0,13.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1057.0,204.0,0.0,M,N,0.856882097516074
2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,103.0,108.0,1.0,F,N,2.6573704079346525
5.0,160.0,12.0,0.0,0.0,8.0,0.0,0.0,18.0,0.0,1.0,1.0,147.0,220.0,0.0,M,N,2.1122551983300712
5.0,107.0,10.0,0.0,0.0,1.0,0.0,0.0,21.0,1.0,2.0,1.0,10204.0,23.0,1.0,F,N,0.4866818358201513
20.0,148.0,11.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,5.0,345.0,827.0,0.0,M,N,0.7177378360403097
8.0,71.0,7.0,0.0,0.0,3.0,2.0,0.0,17.0,8.0,2.0,3.0,2344.0,3385.0,1.0,M,N,1.510078526183733
